iter	RMSE
0	15.81578521
1	14.99437974
2	14.21651818
3	13.4004705
4	12.70195108
5	12.00898638
6	11.40878785
7	10.88061476
8	10.43655777
9	9.977991417
10	9.526413442
11	9.181906857
12	8.864313503
13	8.518747042
14	8.219572633
15	7.962105119
16	7.701918176
17	7.458111904
18	7.25607263
19	7.064726639
20	6.895098373
21	6.717999931
22	6.580098949
23	6.420161645
24	6.310795153
25	6.201194255
26	6.071280102
27	5.956942009
28	5.862580012
29	5.776338019
30	5.709989991
31	5.637541598
32	5.545966643
33	5.49107239
34	5.434829387
35	5.374987585
36	5.313944106
37	5.243776274
38	5.186796698
39	5.154051387
40	5.09493643
41	5.049193673
42	5.012407846
43	4.982317424
44	4.935410829
45	4.885456935
46	4.833890562
47	4.793402799
48	4.743987492
49	4.702359788
50	4.668526248
51	4.627808886
52	4.607483226
53	4.544530358
54	4.511961446
55	4.488144244
56	4.448516487
57	4.424263441
58	4.400319395
59	4.373837208
60	4.332936319
61	4.29427509
62	4.267274257
63	4.241689098
64	4.218566625
65	4.196907358
66	4.162112422
67	4.138727802
68	4.106457453
69	4.085334804
70	4.056300648
71	4.029381676
72	4.003597621
73	3.978058633
74	3.953112789
75	3.935624224
76	3.902860995
77	3.886459356
78	3.871501571
79	3.853291664
80	3.837402682
81	3.823683417
82	3.798698533
83	3.787189563
84	3.779374975
85	3.768708831
86	3.751499506
87	3.729945271
88	3.724108604
89	3.710213491
90	3.699880175
91	3.688220615
92	3.662415552
93	3.656206306
94	3.638106861
95	3.621475698
96	3.595375871
97	3.591044727
98	3.574638698
99	3.558693168
100	3.541789992
101	3.511288593
102	3.49308965
103	3.468320227
104	3.465215394
105	3.460574721
106	3.456312824
107	3.430510978
108	3.406263989
109	3.389973133
110	3.369001399
111	3.366019254
112	3.351598548
113	3.33625687
114	3.331278259
115	3.318244852
116	3.316702342
117	3.314018453
118	3.295873004
119	3.285900169
120	3.284506391
121	3.270414934
122	3.268925264
123	3.249012021
124	3.225597991
125	3.205310104
126	3.185304303
127	3.168825037
128	3.167483309
129	3.166331403
130	3.165189368
131	3.154914977
132	3.153881249
133	3.15306006
134	3.152160416
135	3.144195059
136	3.143377534
137	3.127681892
138	3.126926698
139	3.126228236
140	3.115543867
141	3.11489322
142	3.114289634
143	3.113719484
144	3.101902888
145	3.084404284
146	3.073417921
147	3.064613297
148	3.046098647
149	3.033826053
150	3.030326603
151	3.018289914
152	3.006705443
153	3.002689365
154	2.994855931
155	2.982389307
156	2.964190263
157	2.950711811
158	2.93759219
159	2.927391091
160	2.920532916
161	2.908118781
162	2.893252629
163	2.890879066
164	2.882949623
165	2.874683031
166	2.861233609
167	2.854520343
168	2.852258033
169	2.842576571
170	2.84219949
171	2.825715885
172	2.813715642
173	2.807557155
174	2.800111483
175	2.793435217
176	2.784592064
177	2.776087152
178	2.769055041
179	2.759182776
180	2.749957046
181	2.741849102
182	2.730307974
183	2.719612324
184	2.710939458
185	2.704159354
186	2.696581946
187	2.692020028
188	2.682420625
189	2.671144276
190	2.660147665
191	2.65220383
192	2.644336713
193	2.635784587
194	2.625343217
195	2.619920324
196	2.619585682
197	2.612468996
198	2.60154815
199	2.592895175
200	2.586071418
201	2.580168267
202	2.573020508
203	2.568629768
204	2.56256376
205	2.554273588
206	2.546393736
207	2.541204108
208	2.530788682
209	2.521236881
210	2.51060266
211	2.503874619
212	2.489461779
213	2.485536208
214	2.474489295
215	2.464020765
216	2.456521995
217	2.450378577
218	2.442282661
219	2.439722297
220	2.438933052
221	2.43655801
222	2.430570485
223	2.423826974
224	2.418634435
225	2.409030628
226	2.404938054
227	2.399885725
228	2.39454572
229	2.388691858
230	2.383229529
231	2.376316318
232	2.375082673
233	2.368721357
234	2.363009864
235	2.356395754
236	2.351392112
237	2.347383757
238	2.342250455
239	2.340573046
240	2.337550027
241	2.334810868
242	2.329743777
243	2.325726582
244	2.321204439
245	2.314642124
246	2.309156634
247	2.305087072
248	2.302582812
249	2.299149405
250	2.291291574
251	2.284898784
252	2.278303765
253	2.273664768
254	2.266475326
255	2.259275203
256	2.256194438
257	2.251865899
258	2.251548968
259	2.24880153
260	2.241530851
261	2.241347357
262	2.235772259
263	2.230294215
264	2.220529285
265	2.212973478
266	2.199448381
267	2.193636702
268	2.189501315
269	2.182819643
270	2.180295064
271	2.172964002
272	2.164805461
273	2.158236131
274	2.153914034
275	2.148544077
276	2.140880255
277	2.13703445
278	2.13004904
279	2.127862682
280	2.125554055
281	2.123315332
282	2.116556929
283	2.113191764
284	2.109459899
285	2.107909896
286	2.105189167
287	2.102737443
288	2.097152386
289	2.090574945
290	2.08655934
291	2.08154143
292	2.077568618
293	2.074242446
294	2.071213694
295	2.071065953
296	2.067350019
297	2.061850015
298	2.055939796
299	2.052558884
300	2.046914402
301	2.045162717
302	2.044997619
303	2.041061643
304	2.035878935
305	2.033752566
306	2.031951117
307	2.02698771
308	2.025088937
309	2.020183507
310	2.018047661
311	2.014093157
312	2.007341958
313	2.001953319
314	1.996746791
315	1.994085595
316	1.991943232
317	1.985365253
318	1.980370943
319	1.977329387
320	1.973537109
321	1.968743568
322	1.965084029
323	1.961118114
324	1.961008793
325	1.959493336
326	1.956102009
327	1.950941975
328	1.948945983
329	1.948215933
330	1.945656392
331	1.943006346
332	1.940228263
333	1.936675725
334	1.934989178
335	1.932342052
336	1.929932126
337	1.924412408
338	1.921710608
339	1.918166694
340	1.914905674
341	1.912077402
342	1.906289146
343	1.904823085
344	1.903680778
345	1.90086943
346	1.896566732
347	1.89290058
348	1.889773537
349	1.887545394
350	1.886206702
351	1.882314094
352	1.878746352
353	1.877588159
354	1.872926642
355	1.871450409
356	1.869066748
357	1.866474788
358	1.862294479
359	1.859562251
360	1.858252113
361	1.853303196
362	1.850524728
363	1.848900496
364	1.845265417
365	1.842078143
366	1.840105416
367	1.837855054
368	1.836952441
369	1.835630316
370	1.832807542
371	1.831405978
372	1.829577927
373	1.827035937
374	1.825920728
375	1.824354719
376	1.82228583
377	1.820986949
378	1.818254421
379	1.816387649
380	1.815234305
381	1.812482912
382	1.810631034
383	1.807093794
384	1.804342477
385	1.800618818
386	1.796001666
387	1.790916875
388	1.787346397
389	1.785713999
390	1.782489803
391	1.779709147
392	1.776823122
393	1.773396068
394	1.772335224
395	1.769154709
396	1.766285341
397	1.763384153
398	1.760258773
399	1.7568135
400	1.754049194
401	1.752609685
402	1.750304934
403	1.74723258
404	1.743709171
405	1.742930639
406	1.742496613
407	1.741353798
408	1.739277112
409	1.73775328
410	1.736717529
