iter	Passed	Remaining
0	180	90056
1	184	45957
2	190	31512
3	193	23984
4	201	19990
5	206	16980
6	217	15342
7	222	13691
8	229	12515
9	232	11378
10	235	10462
11	238	9706
12	243	9138
13	250	8690
14	255	8250
15	257	7788
16	262	7456
17	267	7162
18	272	6898
19	276	6626
20	280	6398
21	286	6224
22	301	6243
23	312	6191
24	318	6059
25	321	5869
26	327	5734
27	333	5618
28	338	5490
29	351	5511
30	356	5393
31	359	5262
32	363	5139
33	374	5135
34	382	5083
35	397	5123
36	407	5097
37	416	5064
38	427	5058
39	446	5135
40	456	5115
41	467	5102
42	473	5034
43	480	4982
44	483	4888
45	488	4818
46	496	4781
47	517	4876
48	521	4802
49	523	4715
50	526	4638
51	528	4554
52	531	4479
53	533	4407
54	535	4335
55	538	4272
56	541	4206
57	545	4159
58	547	4095
59	552	4055
60	558	4019
61	560	3961
62	564	3915
63	567	3865
64	570	3815
65	575	3783
66	579	3742
67	581	3697
68	584	3648
69	586	3602
70	593	3586
71	601	3573
72	602	3526
73	605	3486
74	608	3450
75	613	3423
76	622	3417
77	625	3381
78	626	3339
79	630	3308
80	632	3273
81	636	3244
82	638	3208
83	641	3175
84	642	3138
85	644	3101
86	647	3072
87	649	3038
88	650	3003
89	652	2970
90	653	2938
91	655	2906
92	657	2876
93	659	2848
94	660	2817
95	662	2787
96	665	2763
97	666	2735
98	668	2706
99	670	2682
100	672	2655
101	673	2628
102	674	2601
103	678	2582
104	679	2557
105	681	2532
106	684	2512
107	685	2489
108	687	2466
109	690	2447
110	692	2426
111	695	2408
112	698	2393
113	702	2380
114	705	2360
115	708	2345
116	711	2328
117	714	2311
118	716	2293
119	722	2286
120	727	2279
121	730	2263
122	734	2250
123	737	2235
124	740	2222
125	745	2212
126	748	2197
127	752	2185
128	754	2170
129	757	2156
130	759	2139
131	762	2125
132	764	2108
133	765	2090
134	766	2073
135	769	2059
136	771	2042
137	772	2027
138	775	2014
139	778	2001
140	782	1991
141	784	1976
142	787	1965
143	789	1951
144	791	1936
145	796	1930
146	799	1918
